iter	Passed	Remaining
0	63	63066
1	106	53079
2	144	48058
3	172	43049
4	200	39942
5	230	38127
6	259	36746
7	288	35781
8	318	35068
9	346	34291
10	374	33680
11	403	33185
12	432	32802
13	460	32429
14	488	32105
15	517	31801
16	545	31517
17	574	31323
18	602	31094
19	630	30872
20	661	30838
21	694	30880
22	727	30897
23	764	31092
24	799	31180
25	835	31299
26	866	31208
27	895	31070
28	922	30897
29	950	30719
30	978	30586
31	1008	30507
32	1038	30445
33	1070	30408
34	1104	30460
35	1136	30421
36	1164	30299
37	1192	30192
38	1219	30042
39	1247	29948
40	1276	29859
41	1311	29905
42	1348	30014
43	1381	30011
44	1416	30058
45	1453	30140
46	1487	30162
47	1520	30160
48	1555	30183
49	1585	30133
50	1614	30049
51	1643	29962
52	1671	29872
53	1702	29820
54	1732	29761
55	1762	29704
56	1796	29720
57	1829	29713
58	1861	29695
59	1894	29677
60	1923	29613
61	1951	29525
62	1979	29443
63	2009	29386
64	2041	29361
65	2069	29281
66	2098	29216
67	2126	29141
68	2155	29084
69	2183	29006
70	2211	28933
71	2239	28862
72	2267	28791
73	2297	28750
74	2331	28752
75	2367	28782
76	2407	28861
77	2446	28921
78	2493	29071
79	2521	29001
80	2550	28939
81	2579	28872
82	2606	28798
83	2635	28736
84	2664	28686
85	2693	28629
86	2723	28585
87	2753	28536
88	2784	28502
89	2813	28449
90	2841	28386
91	2872	28346
92	2899	28276
93	2927	28213
94	2959	28191
95	2992	28183
96	3024	28158
97	3056	28134
98	3086	28086
99	3115	28038
100	3145	28000
101	3173	27943
102	3202	27888
103	3230	27834
104	3258	27773
105	3287	27727
106	3317	27686
107	3351	27677
108	3379	27628
109	3408	27574
110	3435	27516
111	3466	27485
112	3498	27464
113	3532	27452
114	3561	27405
115	3589	27354
116	3617	27301
117	3645	27249
118	3672	27190
119	3701	27146
120	3733	27122
121	3762	27077
122	3793	27049
123	3820	26991
124	3849	26946
125	3880	26916
126	3908	26868
127	3936	26820
128	3967	26787
129	3998	26761
130	4031	26743
131	4064	26729
132	4093	26687
133	4124	26655
134	4153	26614
135	4184	26580
136	4212	26533
137	4239	26480
138	4269	26445
139	4298	26402
140	4327	26363
141	4355	26316
142	4382	26266
143	4412	26230
144	4441	26188
145	4468	26139
146	4499	26107
147	4532	26095
148	4569	26098
149	4607	26106
150	4642	26099
151	4674	26077
152	4704	26045
153	4736	26019
154	4768	25996
155	4796	25950
156	4826	25913
157	4855	25875
158	4885	25839
159	4913	25798
160	4943	25762
161	4972	25724
162	5002	25687
163	5031	25649
164	5065	25632
165	5103	25640
166	5136	25622
167	5168	25597
168	5198	25563
169	5227	25522
170	5256	25482
171	5286	25449
172	5315	25410
173	5347	25384
174	5376	25348
175	5404	25302
176	5434	25268
177	5463	25232
178	5493	25196
179	5523	25162
180	5552	25124
181	5585	25104
182	5619	25087
183	5650	25059
184	5681	25030
185	5713	25002
186	5744	24973
187	5775	24943
188	5805	24912
189	5835	24876
190	5866	24849
191	5896	24815
192	5926	24780
193	5954	24739
194	5984	24703
195	6013	24669
196	6042	24630
197	6073	24602
198	6104	24569
199	6138	24552
200	6172	24535
201	6203	24505
202	6234	24476
203	6263	24438
204	6293	24404
205	6323	24371
206	6351	24330
207	6380	24293
208	6409	24259
209	6439	24225
210	6470	24196
211	6505	24179
212	6537	24154
213	6569	24129
214	6602	24105
215	6635	24085
216	6669	24066
217	6708	24062
218	6744	24052
219	6778	24032
220	6808	23999
221	6837	23962
222	6869	23934
223	6903	23915
224	6936	23890
225	6967	23863
226	7002	23844
227	7034	23819
228	7066	23791
229	7097	23761
230	7131	23740
231	7166	23723
232	7200	23703
233	7235	23685
234	7265	23650
235	7295	23617
236	7325	23584
237	7359	23563
238	7389	23529
239	7418	23492
240	7448	23458
241	7478	23424
242	7507	23386
243	7536	23350
244	7566	23315
245	7595	23281
246	7624	23244
247	7654	23211
248	7690	23195
249	7733	23199
250	7777	23209
251	7819	23210
252	7868	23232
253	7906	23222
254	7942	23205
255	7977	23185
256	8014	23171
257	8047	23144
258	8079	23116
259	8112	23089
260	8141	23052
261	8172	23019
262	8202	22986
263	8235	22958
264	8268	22933
265	8300	22903
266	8328	22865
267	8361	22838
268	8394	22811
269	8429	22789
270	8464	22770
271	8497	22742
272	8528	22710
273	8562	22687
274	8597	22665
275	8631	22641
276	8664	22615
277	8697	22589
278	8734	22571
279	8769	22551
280	8808	22537
281	8843	22517
282	8878	22493
283	8910	22465
284	8943	22437
285	8973	22401
286	9004	22370
287	9033	22332
288	9063	22297
289	9094	22265
290	9124	22230
291	9157	22204
292	9189	22174
293	9220	22141
294	9249	22103
295	9284	22082
296	9317	22055
297	9358	22046
298	9388	22011
299	9419	21978
300	9454	21954
