iter	RMSE
0	1.317212848
1	1.26511597
2	1.216125823
3	1.169848293
4	1.125822883
5	1.086432412
6	1.04965325
7	1.016266993
8	0.9835088294
9	0.9521370403
10	0.9237911086
11	0.8957593432
12	0.8709120939
13	0.8478293826
14	0.8258289016
15	0.8038264398
16	0.7868837189
17	0.7687160206
18	0.7513073552
19	0.7353676451
20	0.7214789117
21	0.7078271589
22	0.6950571699
23	0.6820393904
24	0.668827678
25	0.6571912722
26	0.6469189659
27	0.6374105998
28	0.6266019392
29	0.6187336072
30	0.6077497712
31	0.5973194016
32	0.5886346736
33	0.5805228601
34	0.5747303706
35	0.5685770425
36	0.561428201
37	0.5532675591
38	0.5461231635
39	0.5393192258
40	0.5329259879
41	0.5288931043
42	0.5244031572
43	0.5178057188
44	0.5128399482
45	0.5084237965
46	0.5025677813
47	0.4985731511
48	0.4953014224
49	0.4910955867
50	0.4876891552
51	0.4826465415
52	0.4780014167
53	0.4746335537
54	0.4710678397
55	0.4665519656
56	0.4625735609
57	0.4599525526
58	0.4577101299
59	0.4548420829
60	0.4519169428
61	0.4486564896
62	0.4462877262
63	0.4428170649
64	0.4391485659
65	0.4370806294
66	0.4353791162
67	0.4324425837
68	0.4309264815
69	0.4283144409
70	0.4260687142
71	0.4242990904
72	0.4225040176
73	0.4194060962
74	0.4169726865
75	0.4141428147
76	0.4121566442
77	0.4099579296
78	0.4085598816
79	0.4070063993
80	0.4050155401
81	0.4038743324
82	0.4023386309
83	0.4008358029
84	0.3997167727
85	0.3979983492
86	0.3958494996
87	0.3946208834
88	0.3936559595
89	0.392302254
90	0.3912599663
91	0.3891818187
92	0.3880861382
93	0.3871868125
94	0.3854803524
95	0.3834877184
96	0.3825564327
97	0.3814075732
98	0.3799823213
99	0.3790740484
100	0.3779141626
101	0.3769192263
102	0.3762718019
103	0.3751781342
104	0.3739083202
105	0.3726802562
106	0.3717962752
107	0.3706439804
108	0.3692526343
109	0.3683426042
110	0.3669988787
111	0.3660661453
112	0.3648148036
113	0.3639278859
114	0.3623015431
115	0.3614324571
116	0.3609872893
117	0.3601259462
118	0.3588831346
119	0.3578279629
120	0.3568433504
121	0.3559342927
122	0.3548806787
123	0.3538024677
124	0.3529622171
125	0.352152198
126	0.3513213465
127	0.3500670163
128	0.3494520622
129	0.3484865695
130	0.3476064161
131	0.3467556254
132	0.3460250121
133	0.3450821053
134	0.3441910873
135	0.3433568892
136	0.3427739931
137	0.3420003781
138	0.3413552934
139	0.340831538
140	0.3400112868
141	0.339130339
142	0.3384228572
143	0.3375895909
144	0.3369389679
145	0.3363225125
146	0.335667021
147	0.335134563
148	0.3341977539
149	0.3335313807
150	0.3328778547
151	0.33238822
152	0.3319404801
153	0.3308976503
154	0.3302125847
155	0.3295622768
156	0.3289069301
157	0.328199794
158	0.327475843
159	0.3267850695
160	0.3261896657
161	0.3255643867
162	0.3247964213
163	0.324199022
164	0.3235352428
165	0.3229395392
166	0.3224318083
167	0.3216190842
168	0.3211152219
169	0.3205302644
170	0.3199137908
171	0.3195572234
172	0.3189539416
173	0.3185168472
174	0.3179667772
175	0.3172771669
176	0.316626552
177	0.3160206509
178	0.3152458874
179	0.3148446571
180	0.3142154466
181	0.3136340995
182	0.3132423799
183	0.3125292033
184	0.3118491783
185	0.3113878886
186	0.3108964832
187	0.3104298189
188	0.3100445474
189	0.309430066
190	0.308705049
191	0.3082541427
192	0.3077621553
193	0.3071556764
194	0.3067627426
195	0.3061236575
196	0.3055467133
197	0.3050542407
198	0.3046283654
199	0.3040924082
200	0.3034965108
201	0.3030876972
202	0.3025636467
203	0.3021551712
204	0.3016691052
205	0.30133736
206	0.3008838275
207	0.3005197539
208	0.3000855156
209	0.2996528942
210	0.299304643
211	0.2989231616
212	0.2986167792
213	0.2979907831
214	0.2974859353
215	0.2971240956
216	0.2966298129
217	0.2963175754
218	0.2959660934
219	0.2954818346
220	0.2949553976
221	0.2945491584
222	0.2942163548
223	0.2938005373
224	0.2934451804
225	0.2929702282
226	0.2925057259
227	0.2921870506
228	0.2918168399
229	0.2915721388
230	0.2912489966
231	0.2908392453
232	0.290478244
233	0.2899388365
234	0.2895988077
235	0.2892920452
236	0.2889842698
237	0.2886072559
238	0.2882870538
239	0.2877601636
240	0.2873954078
241	0.2870423819
242	0.2866555119
243	0.2862994015
244	0.2858741873
245	0.2855513054
246	0.2852861425
247	0.284859388
248	0.2845528576
249	0.2842320536
250	0.2838862895
251	0.2834373801
252	0.2830006702
253	0.282668361
254	0.2822594574
255	0.2818892444
256	0.2815373193
257	0.2812229828
258	0.2807727095
259	0.2805401316
260	0.2802801469
261	0.279872119
262	0.2795678776
263	0.2791786502
264	0.2789284537
265	0.2785835293
266	0.2782554186
267	0.2778606354
268	0.2776150712
269	0.2774044205
270	0.2771670632
271	0.2769659467
272	0.2766108106
273	0.2763664146
274	0.2761406534
275	0.2759229752
276	0.2755649048
277	0.2753439627
278	0.2750853241
