iter	Passed	Remaining
0	6	6454
1	9	4518
2	11	3886
3	16	4075
4	18	3742
5	21	3519
6	23	3348
7	26	3234
8	30	3397
9	33	3318
10	35	3219
11	38	3147
12	40	3097
13	45	3217
14	69	4545
15	72	4471
16	78	4566
17	83	4571
18	87	4510
19	91	4487
20	96	4476
21	99	4403
22	101	4328
23	104	4250
24	109	4265
25	112	4209
26	115	4153
27	118	4098
28	121	4059
29	126	4084
30	129	4035
31	131	3987
32	134	3943
33	139	3966
34	142	3939
35	145	3901
36	148	3864
37	151	3831
38	156	3861
39	159	3834
40	162	3811
41	166	3788
42	171	3806
43	174	3788
44	177	3759
45	179	3732
46	182	3709
47	188	3734
48	191	3709
49	194	3686
50	196	3661
51	201	3672
52	204	3658
53	207	3637
54	210	3618
55	213	3604
56	218	3618
57	221	3601
58	224	3585
59	227	3567
60	232	3586
61	235	3570
62	238	3553
63	241	3537
64	245	3525
65	250	3542
66	253	3529
67	256	3512
68	259	3504
69	264	3516
70	267	3505
71	270	3490
72	273	3475
73	277	3467
74	282	3479
75	285	3470
76	288	3459
77	291	3448
78	296	3461
79	300	3451
80	303	3438
81	306	3428
82	311	3439
83	314	3431
84	317	3419
85	320	3408
86	325	3411
87	329	3412
88	333	3409
89	336	3397
90	340	3401
91	345	3409
92	348	3397
93	351	3386
94	354	3380
95	358	3380
96	361	3369
97	364	3359
98	367	3348
99	372	3348
100	375	3346
101	379	3336
102	382	3327
103	386	3326
104	390	3327
105	393	3318
106	396	3311
107	400	3309
108	406	3320
109	409	3315
110	413	3311
111	419	3327
112	423	3320
113	426	3315
114	430	3310
115	434	3314
116	438	3305
117	441	3298
118	444	3290
119	447	3285
120	451	3277
121	454	3269
122	457	3260
123	460	3252
124	465	3257
125	468	3250
126	472	3248
127	476	3246
128	480	3242
129	483	3235
130	486	3228
131	489	3220
132	492	3213
133	497	3215
134	500	3209
135	503	3201
136	506	3193
137	510	3190
138	514	3186
139	518	3182
140	521	3175
141	524	3168
142	528	3169
143	531	3162
144	534	3154
145	538	3146
146	541	3142
147	544	3135
148	547	3128
149	550	3120
150	553	3113
151	557	3109
152	560	3101
153	563	3095
154	566	3088
155	569	3080
156	572	3074
157	575	3067
158	578	3061
159	581	3054
160	584	3047
161	588	3043
162	591	3037
163	594	3031
164	597	3024
165	600	3017
166	603	3012
167	607	3006
168	610	3000
169	613	2994
170	616	2988
171	619	2983
172	622	2977
173	626	2971
174	629	2965
175	632	2959
176	635	2954
177	638	2948
178	641	2943
179	644	2937
180	647	2931
181	651	2927
182	654	2922
183	657	2917
184	660	2911
185	664	2906
186	667	2901
187	670	2896
188	673	2890
189	677	2886
190	680	2880
191	684	2878
192	688	2877
193	691	2873
194	695	2870
195	699	2868
196	703	2868
197	708	2869
198	713	2871
199	718	2875
200	723	2875
201	729	2880
202	734	2885
203	739	2885
204	744	2888
205	751	2894
206	755	2894
207	762	2903
208	767	2904
209	772	2904
210	778	2910
211	783	2912
212	788	2911
213	794	2916
214	799	2917
215	803	2916
216	809	2920
217	814	2920
218	818	2920
219	825	2925
220	830	2926
221	834	2925
222	839	2926
223	845	2927
224	849	2926
225	855	2931
226	860	2930
227	865	2930
228	871	2934
229	876	2934
230	881	2933
231	887	2937
232	892	2937
233	896	2934
234	901	2936
235	906	2935
236	911	2933
237	916	2935
238	921	2934
239	925	2932
240	930	2931
241	936	2932
242	940	2930
243	944	2927
244	948	2924
245	952	2920
246	956	2916
247	960	2913
248	964	2909
249	968	2905
250	972	2901
251	976	2897
252	980	2894
253	984	2890
254	988	2886
255	992	2883
256	996	2879
257	1000	2876
258	1004	2872
259	1008	2869
260	1012	2865
261	1015	2861
262	1019	2857
263	1023	2854
264	1027	2850
265	1031	2845
266	1034	2840
267	1039	2838
268	1043	2834
269	1046	2829
270	1050	2825
271	1053	2820
272	1057	2816
273	1061	2812
274	1065	2808
275	1069	2804
276	1072	2800
277	1076	2796
278	1080	2791
279	1083	2786
280	1087	2783
281	1091	2778
282	1095	2774
283	1098	2770
284	1102	2766
285	1106	2762
286	1109	2757
287	1113	2753
288	1117	2749
289	1121	2745
290	1124	2740
291	1128	2736
292	1132	2731
293	1135	2727
294	1139	2722
295	1142	2717
296	1145	2712
297	1149	2708
298	1153	2704
299	1157	2699
300	1160	2694
301	1163	2690
302	1167	2685
303	1170	2680
304	1174	2676
305	1177	2671
306	1181	2667
307	1185	2662
308	1188	2658
309	1192	2653
310	1195	2648
311	1199	2644
312	1202	2639
313	1206	2635
314	1209	2630
315	1213	2626
316	1217	2623
317	1221	2619
318	1224	2614
319	1228	2610
320	1231	2605
321	1235	2600
322	1238	2596
323	1242	2591
324	1245	2587
325	1249	2582
326	1252	2577
327	1255	2572
328	1259	2568
329	1262	2563
330	1265	2558
331	1269	2553
332	1272	2548
333	1276	2544
334	1279	2539
335	1282	2535
336	1286	2530
337	1289	2525
338	1293	2521
339	1296	2516
